"cohort","membership_age","num_active","num_users","membership_age_in_breach","activity_name"
1,6,465,1375,26,"Searches"
1,7,452,1375,26,"Searches"
1,8,424,1375,26,"Searches"
1,9,411,1375,26,"Searches"
1,10,377,1375,26,"Searches"
1,11,372,1375,26,"Searches"
1,12,395,1375,26,"Searches"
1,13,349,1375,26,"Searches"
1,14,313,1375,26,"Searches"
1,15,321,1375,26,"Searches"
1,16,329,1375,26,"Searches"
1,17,336,1375,26,"Searches"
1,18,321,1375,26,"Searches"
1,19,321,1375,26,"Searches"
1,20,303,1375,26,"Searches"
1,21,304,1375,26,"Searches"
1,22,313,1375,26,"Searches"
1,23,308,1375,26,"Searches"
1,24,296,1375,26,"Searches"
1,25,309,1375,26,"Searches"
1,26,290,1375,26,"Searches"
1,27,257,1375,26,"Searches"
1,28,245,1375,26,"Searches"
2,0,684,1421,25,"Searches"
2,1,858,1421,25,"Searches"
2,2,696,1421,25,"Searches"
2,3,614,1421,25,"Searches"
2,4,604,1421,25,"Searches"
2,5,587,1421,25,"Searches"
2,6,502,1421,25,"Searches"
2,7,471,1421,25,"Searches"
2,8,443,1421,25,"Searches"
2,9,430,1421,25,"Searches"
2,10,410,1421,25,"Searches"
2,11,400,1421,25,"Searches"
2,12,390,1421,25,"Searches"
2,13,403,1421,25,"Searches"
2,14,358,1421,25,"Searches"
2,15,369,1421,25,"Searches"
2,16,338,1421,25,"Searches"
2,17,352,1421,25,"Searches"
2,18,334,1421,25,"Searches"
2,19,372,1421,25,"Searches"
2,20,340,1421,25,"Searches"
2,21,293,1421,25,"Searches"
2,22,326,1421,25,"Searches"
2,23,302,1421,25,"Searches"
2,24,285,1421,25,"Searches"
2,25,274,1421,25,"Searches"
2,26,263,1421,25,"Searches"
2,27,280,1421,25,"Searches"
3,0,744,1436,24,"Searches"
3,1,890,1436,24,"Searches"
3,2,748,1436,24,"Searches"
3,3,636,1436,24,"Searches"
3,4,599,1436,24,"Searches"
3,5,554,1436,24,"Searches"
3,6,506,1436,24,"Searches"
3,7,470,1436,24,"Searches"
3,8,443,1436,24,"Searches"
3,9,409,1436,24,"Searches"
3,10,382,1436,24,"Searches"
3,11,379,1436,24,"Searches"
3,12,355,1436,24,"Searches"
3,13,381,1436,24,"Searches"
3,14,380,1436,24,"Searches"
3,15,371,1436,24,"Searches"
3,16,371,1436,24,"Searches"
3,17,361,1436,24,"Searches"
3,18,360,1436,24,"Searches"
3,19,342,1436,24,"Searches"
3,20,334,1436,24,"Searches"
3,21,321,1436,24,"Searches"
3,22,317,1436,24,"Searches"
3,23,298,1436,24,"Searches"
3,24,286,1436,24,"Searches"
3,25,240,1436,24,"Searches"
3,26,256,1436,24,"Searches"
4,0,732,1403,23,"Searches"
4,1,847,1403,23,"Searches"
4,2,744,1403,23,"Searches"
4,3,672,1403,23,"Searches"
4,4,610,1403,23,"Searches"
4,5,559,1403,23,"Searches"
4,6,536,1403,23,"Searches"
4,7,462,1403,23,"Searches"
4,8,469,1403,23,"Searches"
4,9,467,1403,23,"Searches"
4,10,431,1403,23,"Searches"
4,11,408,1403,23,"Searches"
4,12,421,1403,23,"Searches"
